CIK,Company,Type,Date,complete_text_file_link,html_index,Filing Date,Period of Report,SIC,htm_file_link,State of Inc,State location,Fiscal Year End,filename
1018724,AMAZON COM INC,10-K,2025-02-07,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000004.txt,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000004-index.html,2025-02-07,2024-12-31,5961,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,DE,WA,1231,1018724_10K_2024_0001018724-25-000004.htm
1018724,AMAZON COM INC,8-K,2025-02-06,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000002.txt,https://www.sec.gov/Archives/edgar/data/1018724/0001018724-25-000002-index.html,2025-02-06,2025-02-06,5961,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000002/amzn-20250206.htm,DE,WA,1231,1018724_8K_2025_0001018724-25-000002.htm
1045810,NVIDIA CORP,10-K,2025-02-26,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000023.txt,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000023-index.html,2025-02-26,2025-01-26,3674,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,DE,CA,0126,1045810_10K_2025_0001045810-25-000023.htm
1045810,NVIDIA CORP,8-K,2025-01-17,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000007.txt,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000007-index.html,2025-01-17,2025-01-13,3674,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000007/nvda-20250113.htm,DE,CA,0126,1045810_8K_2025_0001045810-25-000007.htm
1045810,NVIDIA CORP,8-K,2025-02-26,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000021.txt,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000021-index.html,2025-02-26,2025-02-26,3674,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000021/nvda-20250226.htm,DE,CA,0126,1045810_8K_2025_0001045810-25-000021.htm
1045810,NVIDIA CORP,8-K,2025-03-07,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000039.txt,https://www.sec.gov/Archives/edgar/data/1045810/0001045810-25-000039-index.html,2025-03-07,2025-03-03,3674,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000039/nvda-20250303.htm,DE,CA,0125,1045810_8K_2025_0001045810-25-000039.htm
1318605,"Tesla, Inc.",10-K,2025-01-30,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-003063.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-003063-index.html,2025-01-30,2024-12-31,3711,https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm,DE,TX,1231,1318605_10K_2024_0001628280-25-003063.htm
1318605,"Tesla, Inc.",8-K,2025-01-02,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-000007.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-000007-index.html,2025-01-02,2025-01-02,3711,https://www.sec.gov/Archives/edgar/data/1318605/000162828025000007/tsla-20250102.htm,DE,TX,1231,1318605_8K_2025_0001628280-25-000007.htm
1318605,"Tesla, Inc.",8-K,2025-01-29,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-002993.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001628280-25-002993-index.html,2025-01-29,2025-01-29,3711,https://www.sec.gov/Archives/edgar/data/1318605/000162828025002993/tsla-20250129.htm,DE,TX,1231,1318605_8K_2025_0001628280-25-002993.htm
1652044,Alphabet Inc.,10-K,2025-02-05,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000014.txt,https://www.sec.gov/Archives/edgar/data/1652044/0001652044-25-000014-index.html,2025-02-05,2024-12-31,7370,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,DE,CA,1231,1652044_10K_2024_0001652044-25-000014.htm
